UserGuid,EmailAddress,CustomerNumber,AgreementNumber,LinkedAdminAgreement,AdminInvoiced,AgreementSignupDate,CustomerSignupDate,CustomerType,Segment,Commodity,ProductName,TariffCode,DistributionRegion,MeterPointEIC,MeterSerialNumber,SmartMeterInstalled,MeterReadingFrequency,LastMeterReadingDate,LastMeterReadingValue,AnnualConsumptionKWh,AnnualGasConsumptionM3,CurrentAccountingYearEndDate,InvoiceDeliveryMethod,InvoiceFrequency,LastInvoiceDate,LastInvoiceAmountEUR,OutstandingBalanceEUR,PaymentMethod,DirectDebitActive,LatePaymentsLast12M,PaymentPlanActive,MonthlyDepositEUR,EZonaRegistered,EZonaLastLoginDate,AppUsage,MobileAppPlatform,NewsletterConsent,MarketingConsent,OutageNotificationConsent,PlannedOutageCountLast12M,UnplannedOutageCountLast12M,OpenServiceRequests,LastServiceRequestDate,LastServiceRequestType,SolarInterestScore,EnergyEfficiencyLeadScore,EVInterest,HeatPumpInterest,GreenEnergySubscription,PaperlessInvoice,ComplaintCountLast24M,ChurnRiskScore,CustomerLifetimeValueEUR,PreferredContactChannel,City,PostalCode,NumberOfEmployees,IndustryCode,LegalForm,Superuser
eff170a6-a999-48f2-a186-4f25d616f258,eva.kralova@example.sk,10042881,ZA-104-882,,FALSE,3/14/2021 9:22:00,3/14/2021 9:22:00,Household,Digital household,Electricity + Gas,Online Domov Duo,DD2-DOM,Zilina,24ZSS1048820001Q,ELM884201,TRUE,Monthly,4/30/2026 8:12:00,18342,3120,576,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,82,0,Direct debit,TRUE,0,FALSE,82,TRUE,5/13/2026 9:15:00,eZona web,,TRUE,TRUE,TRUE,1,0,0,2/12/2026 11:05:00,Meter reading,3,6,FALSE,FALSE,FALSE,TRUE,0,2,1840,Email,Zilina,01001,,,,TRUE
2d57e1f9-42a6-4c4e-9f0e-cd12b4e6af3a,martin.benko@example.sk,10077219,BB-772-119,,FALSE,10/2/2020 14:41:00,10/2/2020 14:41:00,Household,Solar interest,Electricity,Elektrina Domov,DD5-SOLAR,Banska Bystrica,24ZSS7721190001K,ELM772119,TRUE,Monthly,4/29/2026 16:30:00,30491,5280,0,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,126.4,126.4,Card,FALSE,1,FALSE,119,TRUE,5/12/2026 18:44:00,"eZona web, mobile web",iOS,TRUE,TRUE,TRUE,2,1,1,4/18/2026 10:20:00,Solar consultation,9,8,TRUE,TRUE,FALSE,TRUE,1,4,2760,Email,Banska Bystrica,97401,,,,TRUE
77dbe8aa-8f73-49b4-b25e-18ef0f04f8b7,lucia.urbanova@example.sk,20044190,MT-441-901,ADM-441-000,TRUE,6/22/2019 8:10:00,6/22/2019 8:10:00,Business,SME multi-site,Electricity + Gas,Firma Energia Plus,B2B-DUO,Martin,24ZSS4419010001P,ELM441901,TRUE,Monthly,4/30/2026 7:40:00,99240,17160,2520,12/31/2026 0:00:00,Email,Monthly,4/30/2026 0:00:00,438.2,438.2,Bank transfer,FALSE,0,TRUE,440,TRUE,5/11/2026 13:08:00,"eZona web, API",,TRUE,FALSE,TRUE,3,1,1,4/20/2026 9:35:00,Deposit change,6,7,FALSE,FALSE,TRUE,TRUE,0,3,7680,Email,Martin,03601,18,471100,s.r.o.,TRUE
cbcac63f-1947-46e8-bfa7-d23860888fed,peter.tothova4@gmail.com,10193641,PX-104-537,,FALSE,3/13/2018 6:54:00,3/13/2018 6:54:00,Household,Green energy,Electricity + Gas,Online Domov Duo,VS-ELE,Prievidza,24ZSS2105088338K,ELM763925,TRUE,Monthly,3/26/2026 14:09:00,42681,4579,712,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,80.03,184.06,Direct debit,TRUE,1,TRUE,93.64,TRUE,8/4/2025 11:07:00,eZona web,Android,FALSE,FALSE,TRUE,3,2,1,2/17/2025 11:56:00,Deposit change,3,8,FALSE,TRUE,TRUE,FALSE,1,3,2961.11,eZona message,Prievidza,97101,,,,TRUE
e61ec64d-5e68-4aa0-8305-3779560df3d6,lenka.polak5@example.sk,17509339,RX-105-561,,FALSE,2/24/2026 20:11:00,2/24/2026 20:11:00,Household,Senior assisted,Electricity,Elektrina Domov,B2B-ELE,Ruzomberok,24ZSS7013579971K,ELM420957,FALSE,Annual,4/25/2026 6:57:00,30964,2249,0,12/31/2026 0:00:00,Post,Quarterly,4/30/2026 0:00:00,31.43,0,Direct debit,TRUE,0,FALSE,26.7,FALSE,,,,TRUE,FALSE,FALSE,2,3,4,,Move contract,3,6,FALSE,FALSE,FALSE,FALSE,1,6,1162.91,Phone,Ruzomberok,03401,,,,FALSE
1cbe4db3-25c6-4394-aa16-e4359330dd86,peter.marekova6@post.sk,14095839,MX-106-211,,FALSE,9/8/2020 0:52:00,9/8/2020 0:52:00,Household,Senior assisted,Gas,Plyn Domov,DD1-DOM,Martin,24ZSS4543302258K,GAS401463,TRUE,Monthly,4/21/2026 10:55:00,25410,0,249,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,61.7,135.58,Direct debit,TRUE,3,FALSE,66.08,TRUE,2/28/2025 17:40:00,"eZona web, API",,TRUE,FALSE,FALSE,1,0,3,2/5/2025 7:01:00,Invoice copy,4,5,FALSE,TRUE,FALSE,FALSE,1,10,2406.3,Email,Martin,03601,,,,TRUE
8e3c6c50-0a04-403c-b0f0-36b55b58a35e,peter.kollarova7@gmail.com,13890871,LM-107-112,,FALSE,4/26/2021 12:17:00,4/26/2021 12:17:00,Household,Digital household,Gas,Plyn Komfort,DD1-DOM,Liptovsky Mikulas,24ZSS1940231652Q,GAS952512,FALSE,Annual,4/18/2026 23:23:00,13951,0,604,12/31/2026 0:00:00,Email,Quarterly,4/30/2026 0:00:00,84.22,190.79,Direct debit,TRUE,3,FALSE,75.05,FALSE,,,,TRUE,TRUE,TRUE,0,0,0,,Move contract,2,2,FALSE,TRUE,TRUE,FALSE,0,8,6063.84,SMS,Liptovsky Mikulas,03101,,,,FALSE
8662ac1e-0a8c-436f-a776-a2c724090b1d,ivana.kollarova8@example.sk,13398600,RX-108-372,,FALSE,11/3/2019 15:46:00,11/3/2019 15:46:00,Household,Price sensitive,Gas,Plyn Komfort,VS-ELE,Ruzomberok,24ZSS1669700067Q,GAS803251,FALSE,Quarterly,4/25/2026 15:19:00,16628,0,1452,12/31/2026 0:00:00,Email,Annual,4/30/2026 0:00:00,105.86,0,Direct debit,FALSE,0,FALSE,112.01,TRUE,4/14/2026 10:47:00,"eZona web, API",Android,TRUE,FALSE,FALSE,2,1,0,,Deposit change,1,3,FALSE,FALSE,TRUE,TRUE,0,2,2117.2,Email,Ruzomberok,03401,,,,TRUE
30db5f23-a623-4969-84d1-542ba5760221,natalia.fedorova9@energia-client.sk,28243322,TX-109-996,ADM-992-781,TRUE,4/3/2022 12:07:00,4/3/2022 12:07:00,Business,Industrial,Electricity + Gas,Duo Komfort,DD5-SOLAR,Trencin,24ZSS3125427730P,ELM857431,TRUE,Monthly,5/4/2026 20:33:00,85374,39385,1561,12/31/2026 0:00:00,Post,Quarterly,4/30/2026 0:00:00,296.34,0,Postal order,FALSE,4,FALSE,346.09,FALSE,,,,FALSE,TRUE,TRUE,2,2,0,,Solar consultation,4,8,FALSE,FALSE,FALSE,FALSE,0,7,19854.78,SMS,Trencin,91101,9,561000,s.r.o.,FALSE
15d83167-f7da-44f8-832c-da629d88a460,michal.marekova10@azet.sk,19228190,MX-110-411,,FALSE,8/10/2021 21:54:00,8/10/2021 21:54:00,Household,Solar interest,Electricity,Verejna Sprava Elektrina,VS-ELE,Martin,24ZSS6985374870M,ELM171744,TRUE,Monthly,3/28/2026 17:01:00,18495,3736,0,12/31/2026 0:00:00,Post,Monthly,4/30/2026 0:00:00,33.71,93.33,Direct debit,FALSE,1,FALSE,32.03,FALSE,,,,TRUE,TRUE,FALSE,0,1,1,,Solar consultation,10,6,FALSE,FALSE,FALSE,FALSE,0,4,910.17,Phone,Martin,03601,,,,FALSE
